timestamp,accX,accY,accZ
0,3.0,-7.6000000000000005,-2.6
16,3.2,-7.5,-2.9000000000000004
32,3.5,-7.7,-3.0
48,3.6,-8.0,-2.9000000000000004
64,3.6,-8.1,-3.1
80,3.6,-8.1,-3.1
96,3.4000000000000004,-8.0,-3.1
112,3.3000000000000003,-7.800000000000001,-3.0
128,3.3000000000000003,-7.7,-3.0
144,3.4000000000000004,-7.800000000000001,-2.9000000000000004
160,3.6,-8.0,-2.7
176,3.6,-8.1,-2.8000000000000003
192,3.4000000000000004,-8.200000000000001,-3.1
208,3.1,-8.1,-3.3000000000000003
224,3.0,-8.200000000000001,-3.2
240,3.0,-8.200000000000001,-3.4000000000000004
256,3.0,-8.200000000000001,-3.5
272,2.9000000000000004,-8.3,-3.2
288,2.8000000000000003,-8.3,-2.9000000000000004
304,2.6,-8.3,-2.9000000000000004
320,2.6,-8.200000000000001,-3.3000000000000003
336,2.7,-8.4,-3.2
352,2.9000000000000004,-8.9,-3.0
368,3.5,-9.4,-3.8000000000000003
384,3.7,-9.4,-4.800000000000001
400,3.7,-9.1,-4.800000000000001
416,3.1,-8.9,-3.1
432,3.1,-8.5,-2.8000000000000003
448,3.8000000000000003,-7.9,-3.5
464,4.0,-7.5,-3.4000000000000004
480,4.0,-7.5,-3.4000000000000004
496,3.2,-7.7,-2.9000000000000004
512,2.4000000000000004,-8.0,-3.6
528,2.7,-8.0,-4.800000000000001
544,3.1,-8.4,-4.0
560,3.1,-8.700000000000001,-2.7
576,3.4000000000000004,-8.5,-3.3000000000000003
592,3.5,-8.5,-3.6
608,3.4000000000000004,-8.700000000000001,-3.2
624,3.4000000000000004,-8.700000000000001,-3.3000000000000003
640,3.1,-8.6,-3.5
656,2.8000000000000003,-8.6,-3.2
672,2.4000000000000004,-8.5,-3.3000000000000003
688,2.2,-8.1,-3.5
704,2.0,-7.6000000000000005,-3.3000000000000003
720,2.2,-7.1000000000000005,-4.0
736,2.5,-7.0,-5.300000000000001
752,2.6,-7.6000000000000005,-5.9
768,3.2,-10.5,-5.0
784,3.2,-10.5,-5.0
800,3.0,-11.3,-5.5
816,2.3000000000000003,-10.8,-6.0
832,1.5,-9.9,-6.6000000000000005
848,1.5,-8.8,-6.1000000000000005
864,1.7000000000000002,-8.200000000000001,-5.300000000000001
880,1.7000000000000002,-8.200000000000001,-5.300000000000001
896,2.2,-8.3,-4.3
912,2.2,-8.700000000000001,-3.6
928,2.3000000000000003,-8.700000000000001,-4.0
944,2.5,-8.6,-4.2
960,2.5,-8.6,-4.1000000000000005
976,2.6,-8.200000000000001,-4.0
992,2.7,-7.9,-3.9000000000000004
1008,2.6,-8.1,-4.0
1024,2.4000000000000004,-8.6,-4.1000000000000005
1040,2.3000000000000003,-8.700000000000001,-3.9000000000000004
1056,2.1,-8.5,-3.9000000000000004
1072,2.2,-8.700000000000001,-4.0
1088,2.0,-8.9,-4.0
1104,1.8,-8.700000000000001,-4.1000000000000005
1120,1.7000000000000002,-8.6,-4.1000000000000005
1136,1.8,-8.6,-4.0
1152,1.8,-8.8,-4.0
1168,1.7000000000000002,-8.8,-4.0
1184,1.7000000000000002,-8.700000000000001,-3.9000000000000004
1200,1.7000000000000002,-8.9,-3.8000000000000003
1216,1.7000000000000002,-8.9,-3.7
1232,1.7000000000000002,-8.8,-3.6
1248,1.8,-8.9,-3.6
1264,1.5,-9.200000000000001,-3.4000000000000004
1280,1.5,-9.200000000000001,-3.4000000000000004
1296,0.8,-9.600000000000001,-3.8000000000000003
1312,0.5,-9.4,-4.800000000000001
1328,1.2000000000000002,-8.5,-4.5
1344,0.9,-8.200000000000001,-4.1000000000000005
1360,0.1,-9.4,-4.5
1376,0.1,-10.700000000000001,-4.5
1392,1.0,-10.8,-3.9000000000000004
1408,2.2,-10.5,-3.5
1424,3.3000000000000003,-10.100000000000001,-3.3000000000000003
1440,3.6,-10.200000000000001,-2.6
1456,3.5,-10.600000000000001,-1.7000000000000002
1472,4.1000000000000005,-10.4,-1.4000000000000001
1488,5.1000000000000005,-10.3,-2.1
1504,6.4,-10.100000000000001,-3.4000000000000004
1520,7.300000000000001,-9.4,-4.6000000000000005
1536,6.800000000000001,-9.3,-4.6000000000000005
1552,4.9,-10.100000000000001,-3.7
1568,2.7,-11.4,-3.1
1584,1.6,-11.9,-3.4000000000000004
1600,1.7000000000000002,-11.4,-3.6
1616,2.6,-10.100000000000001,-3.3000000000000003
1632,3.1,-9.1,-3.6
1648,4.0,-8.0,-3.3000000000000003
1664,5.0,-7.2,-4.5
1680,5.0,-7.2,-4.5
1696,4.6000000000000005,-7.300000000000001,-5.6000000000000005
1712,3.5,-8.1,-3.5
1728,2.7,-8.6,-1.7000000000000002
1744,2.8000000000000003,-8.200000000000001,-1.7000000000000002
1760,3.4000000000000004,-6.800000000000001,-2.4000000000000004
1776,3.1,-5.9,-2.5
1792,2.6,-5.6000000000000005,-2.7
1808,2.3000000000000003,-5.5,-3.2
1824,2.1,-5.800000000000001,-3.4000000000000004
1840,2.0,-6.0,-3.2
1856,2.0,-6.0,-2.8000000000000003
1872,2.1,-6.1000000000000005,-2.5
1888,2.2,-6.300000000000001,-2.7
1904,2.3000000000000003,-6.6000000000000005,-3.4000000000000004
1920,2.5,-7.2,-3.7
1936,2.4000000000000004,-7.6000000000000005,-3.5
1952,1.9000000000000001,-7.800000000000001,-3.7
1968,1.4000000000000001,-7.9,-4.1000000000000005
1984,1.3,-7.800000000000001,-3.9000000000000004
2000,0.6000000000000001,-7.7,-3.7
2016,1.5,-7.2,-4.1000000000000005
2032,5.4,-7.7,-6.9
2048,7.7,-13.9,-10.100000000000001
2064,2.5,-15.8,-5.2
2080,2.5,-15.8,-5.2
2096,-0.8,-11.100000000000001,2.4000000000000004
2112,1.2000000000000002,-6.9,1.1
2128,6.0,-4.7,-4.0
2144,7.0,-5.300000000000001,-2.2
2160,4.9,-7.5,-0.30000000000000004
2176,0.6000000000000001,-10.3,-2.4000000000000004
2192,-2.2,-12.3,-3.0
2208,-0.9,-11.9,-2.8000000000000003
2224,1.3,-10.4,-4.4
2240,2.5,-8.700000000000001,-5.4
2256,1.8,-7.800000000000001,-6.0
2272,1.0,-7.9,-4.9
2288,1.3,-8.9,-3.4000000000000004
2304,2.2,-9.8,-2.9000000000000004
2320,2.9000000000000004,-10.100000000000001,-2.7
2336,2.9000000000000004,-9.700000000000001,-3.1
2352,2.2,-9.200000000000001,-3.2
2368,1.9000000000000001,-9.1,-2.5
2384,2.2,-8.9,-2.6
2400,2.2,-8.8,-3.2
2416,1.8,-9.0,-3.3000000000000003
2432,1.8,-8.8,-3.6
2448,1.8,-8.8,-3.3000000000000003
2464,1.9000000000000001,-8.700000000000001,-3.1
2480,1.9000000000000001,-8.700000000000001,-3.1
2496,1.9000000000000001,-8.6,-3.2
2512,1.9000000000000001,-8.700000000000001,-3.1
2528,1.9000000000000001,-8.9,-3.1
2544,2.1,-9.0,-2.9000000000000004
2560,2.3000000000000003,-9.0,-2.5
