timestamp,accX,accY,accZ
0,-2.3000000000000003,7.5,5.300000000000001
16,-2.5,7.6000000000000005,4.6000000000000005
32,-2.4000000000000004,7.800000000000001,4.800000000000001
48,-2.1,8.1,5.4
64,-2.0,8.1,5.800000000000001
80,-2.0,8.1,6.0
96,-2.3000000000000003,7.9,5.9
112,-2.7,7.7,5.6000000000000005
128,-3.0,7.4,5.4
144,-3.2,6.800000000000001,5.7
160,-3.3000000000000003,6.300000000000001,5.800000000000001
176,-3.6,5.7,5.6000000000000005
192,-3.7,4.9,5.800000000000001
208,-3.8000000000000003,4.2,6.0
224,-3.8000000000000003,4.2,6.0
240,-4.0,3.9000000000000004,5.9
256,-4.0,4.2,5.9
272,-4.3,4.800000000000001,6.5
288,-4.7,5.300000000000001,6.7
304,-5.2,5.800000000000001,6.5
320,-5.4,6.0,6.1000000000000005
336,-5.7,8.4,8.1
352,-6.1000000000000005,11.5,9.3
368,-4.4,12.100000000000001,8.1
384,-4.800000000000001,9.3,8.700000000000001
400,-5.1000000000000005,8.6,7.1000000000000005
416,-2.6,8.9,6.5
432,-1.1,10.4,4.7
448,-2.6,10.600000000000001,4.6000000000000005
464,-2.4000000000000004,9.200000000000001,6.1000000000000005
480,-1.2000000000000002,8.3,6.1000000000000005
496,-0.1,7.800000000000001,6.1000000000000005
512,0.8,8.1,5.2
528,0.7000000000000001,8.6,4.4
544,0.7000000000000001,8.6,4.4
560,-0.6000000000000001,10.0,4.800000000000001
576,-1.9000000000000001,9.700000000000001,4.0
592,-2.3000000000000003,8.9,3.7
608,-2.0,8.0,4.0
624,-2.0,8.0,4.0
640,-1.7000000000000002,7.5,4.0
656,-1.5,7.1000000000000005,3.3000000000000003
672,-1.5,7.0,2.6
688,-1.8,7.7,2.1
704,-1.9000000000000001,8.4,3.1
720,-1.4000000000000001,8.3,3.7
736,-0.9,7.7,3.0
752,-0.8,7.0,3.5
768,-0.8,7.0,3.5
784,-0.8,7.0,3.7
800,-0.2,7.4,4.3
816,0.0,8.1,4.2
832,-0.2,8.6,4.4
848,-0.8,8.5,4.5
864,-0.9,8.200000000000001,4.2
880,-0.8,8.4,4.5
896,-0.7000000000000001,8.700000000000001,4.6000000000000005
912,-0.5,8.5,4.800000000000001
928,-0.4,8.4,4.3
944,-0.5,8.5,4.5
960,-0.5,8.8,4.7
976,-0.30000000000000004,8.700000000000001,4.7
992,0.2,8.6,4.7
1008,0.7000000000000001,8.8,4.7
1024,0.7000000000000001,8.8,4.7
1040,0.7000000000000001,8.8,4.7
1056,0.5,10.3,4.1000000000000005
1072,-0.30000000000000004,11.0,3.5
1088,-1.0,11.0,3.4000000000000004
1104,-0.9,11.100000000000001,3.6
1120,-0.30000000000000004,11.700000000000001,3.7
1136,0.4,12.4,3.4000000000000004
1152,0.2,13.0,3.6
1168,-0.6000000000000001,12.600000000000001,3.2
1184,-1.9000000000000001,12.100000000000001,1.8
1200,-2.7,11.0,0.7000000000000001
1216,-2.7,9.4,1.0
1232,-2.5,8.200000000000001,2.1
1248,-3.0,7.300000000000001,2.6
1264,-3.9000000000000004,6.800000000000001,2.6
1280,-4.2,7.2,3.3000000000000003
1296,-3.5,8.200000000000001,3.8000000000000003
1312,-2.5,8.9,3.5
1328,-1.8,9.0,2.9000000000000004
1344,-0.7000000000000001,8.6,2.4000000000000004
1360,-0.4,8.0,2.4000000000000004
1376,-1.0,7.7,3.3000000000000003
1392,-2.0,8.0,4.2
1408,-2.4000000000000004,8.3,4.3
1424,-2.4000000000000004,8.3,4.3
