timestamp,accX,accY,accZ
0,2.2,-10.8,3.6
16,2.7,-8.6,5.1000000000000005
32,2.7,-8.6,5.1000000000000005
48,2.0,-8.3,5.6000000000000005
64,1.4000000000000001,-9.0,5.6000000000000005
80,1.8,-9.200000000000001,4.800000000000001
96,1.8,-9.200000000000001,4.800000000000001
112,2.0,-8.9,4.6000000000000005
128,2.0,-8.9,4.6000000000000005
144,1.7000000000000002,-8.200000000000001,4.9
160,1.3,-8.3,4.6000000000000005
176,1.3,-8.3,4.6000000000000005
192,0.8,-8.4,4.2
208,0.30000000000000004,-8.0,4.3
224,0.30000000000000004,-8.0,4.3
240,0.8,-8.200000000000001,4.5
256,1.6,-8.9,4.4
272,1.3,-8.9,4.1000000000000005
288,1.3,-8.9,4.1000000000000005
304,0.9,-8.700000000000001,3.9000000000000004
320,0.8,-8.8,3.9000000000000004
336,0.8,-8.8,3.9000000000000004
352,1.1,-9.0,4.0
368,1.1,-9.4,3.9000000000000004
384,1.4000000000000001,-9.4,3.7
400,1.4000000000000001,-9.4,3.7
416,1.8,-8.9,3.8000000000000003
432,1.6,-8.0,3.6
448,1.6,-8.0,3.6
464,1.5,-8.0,3.6
480,1.4000000000000001,-7.9,4.0
496,1.4000000000000001,-7.6000000000000005,4.1000000000000005
512,1.4000000000000001,-7.6000000000000005,4.1000000000000005
528,1.4000000000000001,-7.6000000000000005,4.1000000000000005
544,1.5,-7.2,3.9000000000000004
560,1.6,-6.2,3.9000000000000004
576,1.4000000000000001,-5.7,3.7
592,1.4000000000000001,-5.7,3.7
608,1.4000000000000001,-5.6000000000000005,3.7
624,2.1,-5.300000000000001,4.800000000000001
640,1.3,-3.9000000000000004,4.4
656,1.3,-3.9000000000000004,4.4
672,0.5,-2.0,3.2
688,0.2,-0.6000000000000001,2.7
704,0.7000000000000001,-0.9,4.3
720,1.4000000000000001,-2.5,4.7
736,4.1000000000000005,-2.0,5.300000000000001
752,4.1000000000000005,-2.0,5.300000000000001
768,6.4,0.8,4.6000000000000005
784,3.5,1.0,1.4000000000000001
800,-1.1,-1.6,0.5
816,-1.1,-5.800000000000001,5.1000000000000005
832,1.4000000000000001,-12.5,8.0
848,0.7000000000000001,-36.4,11.0
864,10.5,-34.9,10.700000000000001
880,10.5,-34.9,10.700000000000001
896,7.1000000000000005,-7.0,0.8
912,5.5,-4.9,6.1000000000000005
928,5.5,-4.9,6.1000000000000005
944,5.5,-4.9,6.1000000000000005
960,5.2,-7.300000000000001,13.100000000000001
976,5.9,-11.0,13.600000000000001
992,7.800000000000001,-11.0,7.2
1008,7.800000000000001,-11.0,7.2
1024,5.9,-8.4,7.300000000000001
1040,4.2,-5.7,7.1000000000000005
1056,4.2,-5.7,7.1000000000000005
1072,4.3,-4.7,5.1000000000000005
1088,3.8000000000000003,-4.9,3.5
