timestamp,accX,accY,accZ
0,-0.1,-8.3,2.9000000000000004
16,-0.8,-9.9,2.2
32,-0.9,-10.600000000000001,2.2
48,-1.4000000000000001,-10.4,3.0
64,-1.8,-9.3,3.2
80,-2.0,-8.4,3.0
96,-2.0,-8.4,3.0
112,-2.1,-8.1,2.6
128,-2.2,-8.3,2.5
144,-2.6,-8.700000000000001,2.5
160,-2.7,-8.8,2.6
176,-2.7,-8.700000000000001,2.6
192,-2.5,-8.6,2.7
208,-2.2,-8.700000000000001,2.6
224,-1.8,-9.0,2.5
240,-1.5,-9.5,2.2
256,-0.8,-9.700000000000001,2.0
272,-0.1,-9.8,2.3000000000000003
288,0.2,-10.0,3.0
304,0.30000000000000004,-9.9,3.3000000000000003
320,0.30000000000000004,-9.9,3.3000000000000003
336,-1.3,-9.3,3.6
352,-2.2,-9.5,3.2
368,-2.3000000000000003,-9.8,3.0
384,-2.0,-9.9,3.1
400,-1.6,-9.9,3.4000000000000004
416,-2.4000000000000004,-10.200000000000001,3.8000000000000003
432,-2.4000000000000004,-10.200000000000001,3.5
448,-1.6,-9.200000000000001,2.5
464,-1.6,-8.8,2.6
480,-1.4000000000000001,-9.200000000000001,1.8
496,-1.4000000000000001,-9.200000000000001,1.8
512,-0.5,-9.200000000000001,0.4
528,1.4000000000000001,-9.0,-0.9
544,2.4000000000000004,-8.4,-0.7000000000000001
560,1.4000000000000001,-7.800000000000001,0.6000000000000001
576,-1.6,-8.9,1.1
592,-5.9,-12.4,1.6
608,-7.4,-14.9,0.1
624,-5.4,-14.3,-0.9
640,-3.6,-11.700000000000001,-0.2
656,-1.7000000000000002,-8.5,0.2
672,-1.2000000000000002,-7.300000000000001,0.5
688,-0.9,-8.3,1.2000000000000002
704,0.1,-9.3,1.9000000000000001
720,0.30000000000000004,-9.700000000000001,2.5
736,-0.30000000000000004,-9.1,3.2
752,-1.4000000000000001,-8.200000000000001,3.6
768,-1.9000000000000001,-7.7,3.2
784,-1.4000000000000001,-7.9,2.5
800,-1.1,-8.200000000000001,2.1
816,-1.1,-8.1,2.2
832,-1.2000000000000002,-7.7,2.4000000000000004
848,-1.4000000000000001,-7.6000000000000005,2.4000000000000004
864,-1.8,-7.800000000000001,2.4000000000000004
