timestamp,accX,accY,accZ
0,-0.6000000000000001,-9.4,1.9000000000000001
16,-0.6000000000000001,-9.4,1.9000000000000001
32,-0.7000000000000001,-9.4,1.9000000000000001
48,-0.7000000000000001,-9.5,1.9000000000000001
64,-0.6000000000000001,-9.5,1.8
80,-0.6000000000000001,-9.4,1.8
96,-0.6000000000000001,-9.4,1.8
112,-0.7000000000000001,-9.4,1.8
128,-0.7000000000000001,-9.4,1.8
144,-0.6000000000000001,-9.3,1.6
160,-0.5,-9.3,1.4000000000000001
176,-0.30000000000000004,-10.100000000000001,2.0
192,-0.1,-10.100000000000001,2.5
208,-0.30000000000000004,-9.4,2.3000000000000003
224,-0.5,-8.700000000000001,1.6
240,-0.9,-8.9,1.6
256,-1.2000000000000002,-9.600000000000001,1.6
272,-0.9,-9.8,1.6
288,-0.6000000000000001,-9.600000000000001,1.8
304,-0.6000000000000001,-9.4,1.8
320,-0.7000000000000001,-9.4,1.7000000000000002
336,-1.0,-9.4,1.6
352,-1.0,-9.4,1.6
368,-1.0,-9.4,1.7000000000000002
384,-1.1,-9.4,1.7000000000000002
400,-1.1,-9.4,1.6
416,-1.1,-9.4,1.5
432,-1.1,-9.4,1.6
448,-1.1,-9.4,1.6
464,-1.1,-9.4,1.6
480,-1.1,-9.4,1.6
496,-1.1,-9.4,1.6
512,-1.1,-9.4,1.6
528,-1.1,-9.4,1.6
544,-1.1,-9.5,1.6
560,-1.1,-9.4,1.6
576,-1.1,-9.4,1.5
592,-1.1,-9.4,1.6
608,-1.1,-9.4,1.6
624,-1.1,-9.4,1.6
640,-1.1,-9.4,1.6
656,-1.1,-9.4,1.6
672,-1.0,-9.4,1.5
688,-1.1,-9.4,1.5
704,-1.1,-9.5,1.6
720,-1.1,-9.4,1.6
736,-1.1,-9.4,1.6
752,-1.1,-9.4,1.6
768,-1.1,-9.4,1.7000000000000002
784,-1.1,-9.4,1.7000000000000002
800,-1.2000000000000002,-9.3,1.7000000000000002
816,-1.2000000000000002,-9.3,1.6
832,-1.2000000000000002,-9.3,1.6
848,-1.2000000000000002,-9.3,1.6
864,-1.1,-9.5,1.6
880,-1.2000000000000002,-9.5,1.6
896,-1.2000000000000002,-9.5,1.6
912,-1.1,-9.5,1.5
928,-1.0,-9.5,1.4000000000000001
944,-0.9,-9.600000000000001,1.4000000000000001
960,-0.8,-9.600000000000001,1.4000000000000001
976,-0.7000000000000001,-9.5,1.4000000000000001
992,-0.8,-9.5,1.4000000000000001
1008,-0.9,-9.4,1.4000000000000001
1024,-1.0,-9.4,1.4000000000000001
1040,-1.1,-9.4,1.4000000000000001
1056,-1.3,-9.4,1.5
1072,-1.5,-9.4,1.5
1088,-1.5,-9.3,1.6
1104,-1.3,-9.3,1.5
1120,-1.2000000000000002,-9.4,1.6
1136,-1.2000000000000002,-9.4,1.5
1152,-1.1,-9.4,1.5
1168,-1.1,-9.4,1.4000000000000001
1184,-1.0,-9.5,1.3
1200,-0.9,-9.5,1.3
1216,-0.8,-9.600000000000001,1.3
1232,-0.9,-9.600000000000001,1.3
1248,-1.0,-9.5,1.3
1264,-1.1,-9.5,1.3
1280,-1.0,-9.5,1.3
1296,-1.0,-9.5,1.3
1312,-0.9,-9.5,1.3
1328,-1.0,-9.5,1.3
1344,-1.1,-9.4,1.3
1360,-1.1,-9.4,1.3
1376,-1.2000000000000002,-9.5,1.2000000000000002
1392,-1.2000000000000002,-9.600000000000001,1.1
1408,-1.1,-9.600000000000001,1.2000000000000002
1424,-0.9,-9.600000000000001,1.2000000000000002
1440,-0.9,-9.5,1.3
1456,-1.0,-9.4,1.3
1472,-1.1,-9.4,1.3
1488,-1.1,-9.4,1.3
1504,-1.1,-9.5,1.3
1520,-1.2000000000000002,-9.5,1.3
1536,-1.2000000000000002,-9.5,1.2000000000000002
1552,-1.2000000000000002,-9.600000000000001,1.2000000000000002
1568,-1.2000000000000002,-9.5,1.1
1584,-1.1,-9.5,1.2000000000000002
1600,-1.1,-9.4,1.2000000000000002
1616,-1.2000000000000002,-9.3,1.3
1632,-1.3,-9.3,1.3
1648,-1.4000000000000001,-9.4,1.3
1664,-1.4000000000000001,-9.5,1.3
1680,-1.4000000000000001,-9.5,1.3
1696,-1.4000000000000001,-9.5,1.2000000000000002
1712,-1.4000000000000001,-9.5,1.2000000000000002
1728,-1.3,-9.4,1.3
1744,-1.3,-9.4,1.3
1760,-1.3,-9.4,1.3
1776,-1.4000000000000001,-9.5,1.2000000000000002
1792,-1.4000000000000001,-9.5,1.1
1808,-1.5,-9.5,1.2000000000000002
1824,-1.6,-9.5,1.3
1840,-1.6,-9.4,1.4000000000000001
1856,-1.5,-9.4,1.3
1872,-1.3,-9.4,1.2000000000000002
1888,-1.2000000000000002,-9.4,1.1
