timestamp,accX,accY,accZ
0,1.1,-9.200000000000001,-3.4000000000000004
16,1.1,-9.1,-3.5
32,1.2000000000000002,-9.1,-3.5
48,1.1,-9.0,-3.4000000000000004
64,1.1,-9.0,-3.4000000000000004
80,1.0,-9.0,-3.5
96,1.0,-9.1,-3.5
112,1.0,-9.1,-3.5
128,1.0,-9.0,-3.5
144,1.0,-9.0,-3.5
160,1.0,-9.1,-3.5
176,1.1,-9.1,-3.5
192,1.1,-9.1,-3.4000000000000004
208,1.1,-9.1,-3.4000000000000004
224,1.1,-9.1,-3.4000000000000004
240,1.1,-9.1,-3.4000000000000004
256,1.1,-9.1,-3.4000000000000004
272,1.1,-9.1,-3.4000000000000004
288,1.1,-9.1,-3.4000000000000004
304,1.1,-9.0,-3.3000000000000003
320,1.1,-9.0,-3.2
336,1.1,-9.0,-3.3000000000000003
352,1.1,-9.0,-3.3000000000000003
368,1.1,-9.0,-3.5
384,1.1,-9.0,-3.5
400,1.1,-9.1,-3.4000000000000004
416,1.1,-9.1,-3.4000000000000004
432,1.1,-9.0,-3.4000000000000004
448,1.1,-9.1,-3.4000000000000004
464,1.1,-9.1,-3.4000000000000004
480,1.1,-9.1,-3.4000000000000004
496,1.1,-9.0,-3.4000000000000004
512,1.1,-9.0,-3.3000000000000003
528,1.1,-9.1,-3.3000000000000003
544,1.1,-9.1,-3.3000000000000003
560,1.2000000000000002,-9.1,-3.3000000000000003
576,1.2000000000000002,-9.1,-3.4000000000000004
592,1.3,-9.1,-3.3000000000000003
608,1.3,-9.1,-3.2
624,1.3,-9.200000000000001,-3.2
640,1.3,-9.3,-3.3000000000000003
656,1.3,-9.3,-3.3000000000000003
672,1.2000000000000002,-9.200000000000001,-3.2
688,1.2000000000000002,-9.200000000000001,-3.2
704,1.2000000000000002,-9.1,-3.2
720,1.2000000000000002,-9.1,-3.3000000000000003
736,1.2000000000000002,-9.1,-3.3000000000000003
752,1.2000000000000002,-9.1,-3.3000000000000003
768,1.2000000000000002,-9.1,-3.4000000000000004
784,1.4000000000000001,-9.1,-3.4000000000000004
